timeMillis,timeNanos,x,y,z
1576422117303,2078002980623,285.03,-28.73,4.73
1576422117323,2078022980623,285.06,-28.73,4.68
1576422117344,2078042980623,285.16998,-28.949999,4.5499997
1576422117363,2078062980623,285.3,-29.31,4.42
1576422117383,2078082980623,285.35,-29.679998,4.35
1576422117403,2078102980623,285.28,-30.01,4.39
1576422117424,2078122980623,285.15,-30.24,4.5
1576422117443,2078142980623,284.97998,-30.269999,4.68
1576422117463,2078162980623,284.81,-30.05,4.87
1576422117483,2078182980623,284.8,-29.769999,5.1099997
1576422117504,2078202980623,284.97998,-29.609999,5.4
1576422117523,2078222980623,285.31,-29.63,5.6299996
1576422117543,2078242980623,285.79,-29.869999,5.7799997
1576422117564,2078262980623,286.19,-30.25,5.69
1576422117583,2078282980623,286.25,-30.519999,5.35
1576422117603,2078302980623,286.15,-30.72,5.1
1576422117652,2078322982186,286.13998,-31.0,5.0299997
1576422117652,2078342982186,286.22998,-31.34,4.96
1576422117663,2078362980623,286.29,-31.519999,4.77
1576422117683,2078382980623,286.31,-31.4,4.49
1576422117703,2078402982186,286.43,-31.039999,4.27
1576422117723,2078422980623,286.77,-30.65,4.2599998
1576422117743,2078442980623,287.25998,-30.33,4.42
1576422117763,2078462980623,287.82,-30.07,4.72
1576422117794,2078482980623,288.41,-29.779999,5.08
1576422117803,2078502980623,288.93,-29.42,5.31
1576422117823,2078522980623,289.34,-29.09,5.41
1576422117843,2078542980623,289.59,-28.849998,5.3599997
1576422117863,2078562982186,289.72998,-28.66,5.16
1576422117883,2078582982186,289.84,-28.5,5.0
1576422117904,2078602980623,289.94998,-28.269999,4.96
1576422117923,2078622980623,290.05,-27.97,5.0
1576422117944,2078642980623,289.96,-27.56,5.1
1576422117963,2078662980623,289.83,-27.17,5.41
1576422117983,2078682982186,289.69998,-26.88,5.67
1576422118003,2078702989998,289.55,-26.63,5.73
1576422118023,2078722980623,289.25,-26.25,5.7799997
1576422118044,2078742980623,288.85,-25.73,5.97
1576422118063,2078762980623,288.41998,-25.13,6.27
1576422118084,2078782982186,287.91,-24.51,6.7
1576422118105,2078802980623,287.37,-23.97,7.0699997
1576422118123,2078822980623,286.88,-23.57,7.21
1576422118143,2078842980623,286.57,-23.4,7.37
1576422118163,2078862980623,286.47,-23.6,7.66
1576422118183,2078882980623,286.29,-24.019999,8.139999
1576422118203,2078902980623,285.8,-24.43,8.79
1576422118223,2078922980623,285.13998,-24.73,9.42
1576422118243,2078942982186,284.44998,-24.92,9.87
1576422118264,2078962980623,283.75998,-24.869999,9.88
1576422118283,2078982980623,283.18,-24.539999,9.4
1576422118304,2079002982186,282.8,-24.17,8.929999
1576422118323,2079022980623,282.59,-23.949999,8.84
1576422118343,2079042980623,282.46,-23.88,9.13
1576422118363,2079062980623,282.38,-23.869999,9.65
1576422118383,2079082980623,282.47,-23.81,10.28
1576422118403,2079102980623,282.72998,-23.56,10.96
1576422118424,2079122980623,283.00998,-23.039999,11.679999
1576422118443,2079142980623,283.15,-22.21,12.389999
1576422118464,2079162980623,283.03,-21.119999,12.95
1576422118483,2079182980623,282.74,-19.92,13.19
1576422118503,2079202980623,282.38998,-18.84,13.13
1576422118523,2079222980623,282.1,-18.09,12.889999
1576422118543,2079242980623,281.97,-17.74,12.49
1576422118563,2079262980623,281.96,-17.82,12.0
1576422118583,2079282980623,282.05,-18.289999,11.67
1576422118603,2079302980623,282.24,-19.029999,11.63
1576422118630,2079322980623,282.44,-19.82,11.86
1576422118643,2079342980623,282.50998,-20.43,12.099999
1576422118663,2079362980623,282.33,-20.66,12.09
1576422118683,2079382980623,281.91998,-20.56,11.719999
1576422118703,2079402982186,281.38998,-20.33,11.04
1576422118723,2079422982186,281.09,-20.39,10.41
1576422118743,2079442980623,281.22998,-20.97,10.219999
1576422118764,2079462980623,281.44998,-21.859999,10.09
1576422118783,2079482980623,281.43,-22.82,9.559999
1576422118803,2079502982186,281.22,-23.859999,8.92
1576422118823,2079522980623,281.1,-25.06,8.53
1576422118843,2079542980623,281.25998,-26.43,8.429999
1576422118863,2079562982186,281.69,-27.779999,8.42
1576422118884,2079582982186,282.25998,-28.83,8.29
1576422118903,2079602980623,282.78,-29.41,8.0
1576422118923,2079622980623,283.16998,-29.539999,7.5899997
1576422118943,2079642982186,283.47998,-29.32,7.21
1576422118964,2079662982186,283.75,-28.949999,6.89
1576422118983,2079682982186,284.02,-28.599998,6.62
1576422119062,2079702980623,284.35,-28.449999,6.46
1576422119062,2079722982186,284.78,-28.49,6.43
1576422119062,2079742982186,285.28,-28.609999,6.44
1576422119063,2079762982186,285.8,-28.68,6.45
1576422119083,2079782980623,286.44998,-28.73,6.6299996
1576422119103,2079802982186,287.31,-28.83,7.1299996
1576422119123,2079822982186,288.33,-29.01,7.9199996
1576422119143,2079842980623,289.32,-29.199999,8.87
1576422119163,2079862980623,290.08,-29.34,9.75
1576422119183,2079882980623,290.54,-29.49,10.42
1576422119203,2079902982186,290.69998,-29.599998,10.79
1576422119223,2079922980623,290.57,-29.539999,10.83
1576422119243,2079942980623,290.24,-29.22,10.639999
1576422119263,2079962980623,289.91,-28.8,10.4
1576422119283,2079982980623,289.77,-28.51,10.23
1576422119304,2080002980623,289.75,-28.38,9.99
1576422119322,2080022980623,289.6,-28.25,9.44
1576422119343,2080042980623,289.46,-28.26,8.73
1576422119363,2080062980623,289.38,-28.55,8.0199995
1576422119383,2080082980623,289.06,-28.99,7.19
1576422119403,2080102980623,288.38,-29.38,6.39
1576422119423,2080122980623,287.65,-29.84,5.97
1576422119443,2080142980623,287.19,-30.47,5.95
1576422119463,2080162980623,286.99,-31.09,5.94
1576422119483,2080182980623,286.71,-31.269999,5.54
1576422119504,2080202980623,286.13,-30.98,4.7799997
1576422119523,2080222980623,285.43,-30.64,4.19
1576422119544,2080242980623,284.91,-30.47,4.17
1576422119563,2080262980623,284.65,-30.42,4.6
1576422119583,2080282980623,284.46,-30.33,5.1
1576422119603,2080302980623,284.18,-30.099998,5.35
1576422119647,2080322980623,283.82,-29.84,5.3399997
1576422119647,2080342982186,283.47998,-29.65,5.27
1576422119663,2080362980623,283.15,-29.539999,5.25
1576422119683,2080382980623,282.69,-29.429998,5.25
1576422119703,2080402980623,282.13,-29.25,5.2
1576422119723,2080422980623,281.55,-28.98,5.0699997
1576422119744,2080442980623,281.02,-28.689999,4.85
1576422119763,2080462980623,280.58,-28.539999,4.62
1576422119784,2080482982186,280.25,-28.609999,4.49
1576422119803,2080502980623,280.07,-28.849998,4.56
1576422119823,2080522980623,280.00998,-29.109999,4.77
1576422119843,2080542980623,279.88,-29.189999,4.95
1576422119864,2080562982186,279.61,-28.99,5.0499997
1576422119883,2080582982186,279.24,-28.539999,5.0699997
1576422119904,2080602980623,279.03,-28.019999,5.14
1576422119923,2080622980623,279.11,-27.66,5.3199997
1576422119943,2080642980623,279.41,-27.609999,5.6099997
1576422119964,2080662980623,279.93,-27.98,5.99
1576422119984,2080682980623,280.59,-28.68,6.3799996
1576422120003,2080702982186,281.11,-29.5,6.6499996
1576422120023,2080722982186,281.41998,-30.14,6.77
1576422120043,2080742982186,281.59,-30.39,6.83
1576422120063,2080762980623,281.68,-30.14,6.77
1576422120083,2080782980623,281.66,-29.47,6.5
1576422120103,2080802980623,281.50998,-28.64,6.1299996
1576422120123,2080822980623,281.25998,-27.859999,5.8399997
1576422120143,2080842980623,281.08,-27.23,5.67
1576422120163,2080862982186,281.1,-26.869999,5.65
1576422120183,2080882980623,281.4,-26.859999,5.69
1576422120203,2080902982186,281.91998,-27.14,5.72
1576422120224,2080922980623,282.44998,-27.539999,5.6299996
1576422120243,2080942980623,282.8,-27.88,5.38
