bssid,frequency,rss,ssid,timeMillis,timestamp
24dec6ec5ef0,5220,-60,Welcome_KAIST,1576422130570,2091250229
909f33bb2164,2417,-71,MASS_3101,1576422130570,2091250222
88366cd63882,5180,-73,cbe pc room 5G-2,1576422130570,2091250219
002666c4d560,5180,-85,iptime5G-mbeloffice,1576422130570,2091250215
909f33a803d4,5805,-84,5107_5G,1576422130570,2091250211
d8c7c8df08f2,5765,-81,Welcome_1st_KAIST,1576422130570,2091250206
d8c7c8df08f1,5765,-79,Welcome_KAIST,1576422130570,2091250203
d8c7c8df08f0,5765,-81,eduroam,1576422130570,2091250198
d8c7c8df08e1,2472,-87,Welcome_KAIST,1576422130570,2091250191
24dec6e32e62,2472,-86,Welcome_1st_KAIST,1576422130570,2091250189
24dec6e32e60,2472,-91,Welcome_KAIST,1576422130570,2091250187
24dec6e32e61,2472,-88,eduroam,1576422130570,2091250179
d8c7c8df08e2,2472,-91,Welcome_1st_KAIST,1576422130570,2091250161
001a1e742292,5785,-79,Welcome_1st_KAIST,1576422134427,2095097153
001a1e742291,5785,-77,eduroam,1576422134427,2095097150
001a1e742290,5785,-78,Welcome_KAIST,1576422134427,2095097147
d8c7c8df08f2,5765,-92,Welcome_1st_KAIST,1576422134427,2095097142
d8c7c8df08f0,5765,-95,eduroam,1576422134427,2095097138
705dcc00c6b4,5745,-91,iptime5G,1576422134427,2095097135
88366c5842a0,5745,-69,MaturePolis Lab. 5G,1576422134427,2095097132
88366c7d4f56,5745,-67,SBML5G,1576422134427,2095097129
d8c7c8df2e40,2472,-85,eduroam,1576422134427,2095097126
8625190c6644,2472,-88,DIRECT-IiM267x 287x Series,1576422134427,2095097124
24dec6e33e60,2472,-92,Welcome_KAIST,1576422134427,2095097121
24dec6e32002,2472,-96,Welcome_1st_KAIST,1576422134427,2095097116
909f335a8494,2472,-91,BIOMASS_24G,1576422134427,2095097114
64e599ba264e,2472,-87,iptime,1576422134427,2095097110
d8c7c8de3921,2472,-97,Welcome_KAIST,1576422134427,2095097106
64e599a088a0,2462,-87,iptime,1576422134427,2095097103
88366c5842a2,2457,-58,MaturePolis Lab.,1576422134427,2095097100
64e599edbdd2,2447,-79,KAISTCONCRETE,1576422134427,2095097098
00266632b4c4,2442,-91,lja,1576422134427,2095097095
d8c7c8df0471,5240,-94,Welcome_KAIST,1576422134427,2095097092
d8c7c8df0470,5240,-91,eduroam,1576422134427,2095097086
d8c7c8df2e52,5240,-92,Welcome_1st_KAIST,1576422134427,2095097084
d8c7c8df2e51,5240,-88,Welcome_KAIST,1576422134427,2095097079
d8c7c8df2e50,5240,-91,eduroam,1576422134427,2095097076
24dec6ec5ef2,5220,-63,Welcome_1st_KAIST,1576422134427,2095097074
24dec6ec5ef1,5220,-63,eduroam,1576422134427,2095097071
24dec6ec5ef0,5220,-58,Welcome_KAIST,1576422134427,2095097067
705dcc3dc6c8,2417,-75,iptime,1576422134427,2095097064
