timeMillis,timeNanos,x,y,z
1576422116464,2077162980623,0.7198,4.8167,8.5118
1576422116485,2077182980623,0.62619996,4.8388,8.5067
1576422116504,2077202980623,0.5424,4.8189,8.5237
1576422116525,2077222980623,0.48079997,4.7738,8.5527
1576422116544,2077242980623,0.4429,4.7181,8.5856
1576422116565,2077262980623,0.424,4.6577997,8.6194
1576422116585,2077282980623,0.4245,4.5980997,8.6514
1576422116604,2077302980623,0.43969998,4.5533,8.6743
1576422116627,2077322980623,0.4822,4.5274,8.685599
1576422116643,2077342980623,0.5757,4.5099,8.689
1576422116664,2077362980623,0.69409996,4.487,8.6922
1576422116683,2077382980623,0.7801,4.46,8.6988
1576422116705,2077402982186,0.7989,4.4516,8.7014
1576422116725,2077422980623,0.7576,4.487,8.6869
1576422116745,2077442980623,0.7123,4.5643,8.6503
1576422116766,2077462980623,0.7047,4.6625,8.5985
1576422116785,2077482980623,0.726,4.7578,8.5443
1576422116808,2077502980623,0.73249996,4.8276997,8.5044
1576422116824,2077522980623,0.7025,4.8711,8.4822
1576422116844,2077542980623,0.6687,4.9049997,8.4654
1576422116864,2077562980623,0.66359997,4.9178,8.4584
1576422116883,2077582980623,0.68939996,4.8992,8.4671
1576422116905,2077602980623,0.7449,4.8782,8.4745
1576422116923,2077622982186,0.7802,4.8645,8.479199
1576422116945,2077642982186,0.77449995,4.8345,8.4969
1576422116963,2077662980623,0.7856,4.804,8.5131
1576422116986,2077682982186,0.84349996,4.8118,8.503099
1576422117005,2077702980623,0.9108,4.8750997,8.4601
1576422117025,2077722980623,0.91639996,4.9603,8.4098
1576422117045,2077742980623,0.8393,5.0172,8.384
1576422117064,2077762982186,0.7313,5.0239,8.3902
1576422117085,2077782982186,0.6658,5.0069,8.4057
1576422117104,2077802980623,0.6645,4.9806,8.4215
1576422117125,2077822980623,0.71639997,4.9516997,8.434199
1576422117144,2077842980623,0.78239995,4.929,8.4416
1576422117165,2077862980623,0.8326,4.9199,8.4422
1576422117185,2077882980623,0.85139996,4.9228997,8.4386
1576422117203,2077902980623,0.8404,4.9199,8.4414
1576422117225,2077922980623,0.82369995,4.895,8.4574995
1576422117244,2077942980623,0.8163,4.8455,8.4867
1576422117264,2077962980623,0.81259996,4.7859,8.5208
1576422117284,2077982980623,0.8118,4.7311,8.5514
1576422117305,2078002980623,0.80979997,4.6983,8.5697
1576422117325,2078022980623,0.8005,4.6981997,8.5706
1576422117344,2078042980623,0.7786,4.7325,8.5538
1576422117364,2078062980623,0.7561,4.7871,8.5253
1576422117384,2078082980623,0.74509996,4.8423,8.4951
1576422117405,2078102980623,0.7521,4.8912,8.4664
1576422117424,2078122980623,0.7708,4.9245996,8.4453
