calcAzimuth,gesture,stepLength,timeMillis
40.58956,8,0.65,1575215624940
32.662304,8,0.65,1575215625500
17.553066,8,0.65,1575215626110
28.963146,8,0.65,1575215626660
23.258106,8,0.65,1575215627250
26.110626,8,0.65,1575215627790
338.43658,8,0.65,1575215628370
336.06577,8,0.65,1575215628920
337.25116,8,0.65,1575215629500
295.61636,8,0.65,1575215630030
316.43378,8,0.65,1575215630580
301.8411,8,0.65,1575215631110
282.58557,0,0.65,1575215631680
292.21332,0,0.65,1575215632210
262.31348,0,0.65,1575215632790
277.2634,0,0.65,1575215633310
269.78845,0,0.65,1575215633920
273.52594,0,0.65,1575215634440
277.35077,0,0.65,1575215635020
294.6945,0,0.65,1575215635540
286.0226,8,0.65,1575215636100
304.01678,8,0.65,1575215636690
279.0368,8,0.65,1575215637270
304.1227,8,0.65,1575215637720
5.1441326,8,0.65,1575215638280
299.97723,8,0.65,1575215638790
301.0136,8,0.65,1575215639370
337.64172,0,0.65,1575215639930
28.840027,0,0.65,1575215640490
36.227524,0,0.65,1575215641060
30.775406,0,0.65,1575215641640
33.501465,0,0.65,1575215642140
16.96748,0,0.65,1575215642720
25.234472,0,0.65,1575215643280
7.412101,0,0.65,1575215643830
16.323286,0,0.65,1575215644360
12.615922,0,0.65,1575215644950
342.73746,0,0.65,1575215645470
24.48678,0,0.65,1575215646060
21.519066,0,0.65,1575215646610
18.445429,0,0.65,1575215647180
31.198223,8,0.65,1575215647710
31.934055,8,0.65,1575215648310
31.56614,8,0.65,1575215648860
15.271169,8,0.65,1575215649440
23.418653,8,0.65,1575215649980
11.892167,8,0.65,1575215650550
17.65541,8,0.65,1575215651060
335.15485,8,0.65,1575215651620
285.0249,0,0.65,1575215652170
8.380812,0,0.65,1575215652720
300.32593,0,0.65,1575215653270
296.50067,0,0.65,1575215653860
282.75934,0,0.65,1575215654440
289.63,0,0.65,1575215655000
275.80545,0,0.65,1575215655590
282.71774,0,0.65,1575215656160
335.70688,0,0.65,1575215656690
24.926401,0,0.65,1575215657250
292.0064,0,0.65,1575215657840
302.93152,0,0.65,1575215658390
283.43118,0,0.65,1575215658960
293.18137,0,0.65,1575215659570
304.36826,0,0.65,1575215660140
333.75208,0,0.65,1575215660670
23.074728,0,0.65,1575215661210
27.187414,0,0.65,1575215661750
25.131071,0,0.65,1575215662290
17.876396,0,0.65,1575215662840
21.503733,0,0.65,1575215663410
31.648413,0,0.65,1575215663960
282.10492,0,0.65,1575215664510
203.63177,0,0.65,1575215665080
240.94888,0,0.65,1575215665620
17.620943,0,0.65,1575215666160
266.19843,0,0.65,1575215666710
259.88605,0,0.65,1575215667290
228.97028,0,0.65,1575215667860
40.17044,0,0.65,1575215668390
291.07095,0,0.65,1575215669150
292.73602,0,0.65,1575215669780
291.90347,0,0.65,1575215670310
303.8322,0,0.65,1575215670880
296.08563,0,0.65,1575215671430
295.12256,0,0.65,1575215672020
295.6041,0,0.65,1575215672570
286.92615,0,0.65,1575215673100
291.26514,0,0.65,1575215673670
284.60815,0,0.65,1575215674270
287.93665,0,0.65,1575215674820
295.12415,0,0.65,1575215675380
291.5304,0,0.65,1575215675960
297.9072,0,0.65,1575215676520
294.7188,0,0.65,1575215677090
293.71844,0,0.65,1575215677650
294.21863,0,0.65,1575215678240
293.96854,0,0.65,1575215678830
294.0936,0,0.65,1575215679370
294.03107,0,0.65,1575215679920
294.06232,0,0.65,1575215680470
294.0467,0,0.65,1575215681070
294.0545,0,0.65,1575215681590
294.0506,0,0.65,1575215682150
294.05255,0,0.65,1575215682720
294.05157,0,0.65,1575215683330
294.05206,0,0.65,1575215683890
294.05182,0,0.65,1575215684400
294.05194,0,0.65,1575215684950
294.05188,0,0.65,1575215685530
294.0519,0,0.65,1575215686090
294.0519,0,0.65,1575215686660
294.0519,0,0.65,1575215687250
294.0519,0,0.65,1575215687880
294.0519,0,0.65,1575215688460
294.0519,0,0.65,1575215689040
294.0519,0,0.65,1575215689580
294.0519,0,0.65,1575215690180
294.0519,0,0.65,1575215690700
294.0519,0,0.65,1575215691290
294.0519,0,0.65,1575215691820
294.0519,0,0.65,1575215692400
294.0519,0,0.65,1575215692940
294.0519,0,0.65,1575215693510
294.0519,0,0.65,1575215694050
294.0519,0,0.65,1575215694630
294.0519,0,0.65,1575215695190
294.0519,0,0.65,1575215695780
294.0519,0,0.65,1575215696300
294.0519,0,0.65,1575215696870
294.0519,0,0.65,1575215697420
294.0519,0,0.65,1575215698030
294.0519,0,0.65,1575215698600
294.0519,0,0.65,1575215699180
294.0519,0,0.65,1575215699750
294.0519,0,0.65,1575215700340
294.0519,0,0.65,1575215700900
294.0519,0,0.65,1575215701460
294.0519,0,0.65,1575215702000
294.0519,0,0.65,1575215702590
294.0519,0,0.65,1575215703140
294.0519,0,0.65,1575215703730
294.0519,0,0.65,1575215704290
294.0519,0,0.65,1575215704890
294.0519,0,0.65,1575215705440
294.0519,0,0.65,1575215706020
294.0519,0,0.65,1575215706600
294.0519,0,0.65,1575215707160
294.0519,0,0.65,1575215707720
294.0519,0,0.65,1575215708310
294.0519,0,0.65,1575215708920
294.0519,0,0.65,1575215709510
294.0519,0,0.65,1575215710120
294.0519,0,0.65,1575215710750
294.0519,0,0.65,1575215711310
294.0519,0,0.65,1575215711910
294.0519,0,0.65,1575215712430
294.0519,0,0.65,1575215713010
294.0519,0,0.65,1575215713630
294.0519,0,0.65,1575215714240
