timeMillis,timeNanos,value
1574820296166,56208880168866,1023.2959
1574820296246,56208960168866,1023.292
1574820296332,56209040168866,1023.2827
1574820296406,56209120168866,1023.2881
1574820296486,56209200168866,1023.3047
1574820296566,56209280168866,1023.31104
1574820296646,56209360168866,1023.3135
1574820296726,56209440168866,1023.3096
1574820296806,56209520168866,1023.3218
1574820296886,56209600168866,1023.3003
1574820296966,56209680168866,1023.31055
1574820297049,56209760168866,1023.3013
1574820297126,56209840168866,1023.3003
1574820297206,56209920168866,1023.291
1574820297286,56210000168866,1023.292
1574820297366,56210080168866,1023.291
1574820297446,56210160170429,1023.30176
1574820297526,56210240168866,1023.2925
1574820297606,56210320168866,1023.30566
1574820297686,56210400168866,1023.29297
1574820297766,56210480168866,1023.2964
1574820297846,56210560168866,1023.2822
1574820297926,56210640168866,1023.2949
1574820298007,56210720168866,1023.2954
1574820298092,56210800168866,1023.29785
1574820298166,56210880168866,1023.28955
1574820298246,56210960168866,1023.2998
1574820298326,56211040168866,1023.30273
1574820298406,56211120168866,1023.2988
1574820298486,56211200168866,1023.2959
1574820298567,56211280168866,1023.30566
1574820298647,56211360168866,1023.30176
1574820298726,56211440168866,1023.2969
1574820298808,56211520168866,1023.3096
1574820298963,56211600168866,1023.29834
1574820298966,56211680170429,1023.2998
1574820299046,56211760168866,1023.28613
1574820299126,56211840168866,1023.28613
1574820299206,56211920168866,1023.2798
1574820299286,56212000168866,1023.2842
1574820299370,56212080168866,1023.2915
1574820299446,56212160168866,1023.29346
1574820299526,56212240168866,1023.2905
1574820299606,56212320168866,1023.30273
1574820299687,56212400168866,1023.2988
1574820299766,56212480168866,1023.3086
1574820299847,56212560168866,1023.29736
1574820299927,56212640168866,1023.2993
1574820300007,56212720168866,1023.3008
1574820300141,56212800168866,1023.291
1574820300166,56212880168866,1023.29395
1574820300246,56212960168866,1023.2876
1574820300332,56213040168866,1023.2915
1574820300406,56213120168866,1023.2915
1574820300486,56213200168866,1023.2993
1574820300566,56213280168866,1023.3042
1574820300646,56213360168866,1023.31006
1574820300726,56213440168866,1023.3003
1574820300806,56213520168866,1023.2905
1574820300886,56213600168866,1023.29395
1574820300968,56213680168866,1023.2993
1574820301048,56213760168866,1023.30225
1574820301127,56213840168866,1023.292
1574820301206,56213920168866,1023.3042
1574820301286,56214000168866,1023.30273
1574820301366,56214080170429,1023.3047
1574820301446,56214160168866,1023.3032
1574820301526,56214240168866,1023.2959
1574820301606,56214320168866,1023.3037
1574820301686,56214400168866,1023.3003
1574820301766,56214480168866,1023.30273
1574820301847,56214560168866,1023.2959
1574820301926,56214640168866,1023.2783
1574820302006,56214720168866,1023.2905
1574820302104,56214800170429,1023.28955
1574820302166,56214880168866,1023.27637
1574820302246,56214960168866,1023.2744
1574820302326,56215040168866,1023.2871
1574820302407,56215120168866,1023.30273
1574820302486,56215200168866,1023.2905
1574820302566,56215280168866,1023.291
1574820302646,56215360168866,1023.2915
1574820302726,56215440168866,1023.29834
1574820302806,56215520168866,1023.28516
1574820302886,56215600168866,1023.28125
1574820302966,56215680168866,1023.28516
1574820303047,56215760168866,1023.29834
1574820303126,56215840168866,1023.29834
1574820303206,56215920168866,1023.28076
1574820303286,56216000168866,1023.2783
1574820303371,56216080170429,1023.272
1574820303446,56216160168866,1023.2783
1574820303526,56216240168866,1023.2656
1574820303607,56216320168866,1023.2676
1574820303686,56216400168866,1023.272
1574820303766,56216480168866,1023.26514
1574820303846,56216560168866,1023.27637
1574820303926,56216640168866,1023.2925
1574820304006,56216720168866,1023.2964
1574820304110,56216800168866,1023.2954
1574820304166,56216880168866,1023.29785
1574820304247,56216960168866,1023.28467
1574820304333,56217040168866,1023.28906
1574820304406,56217120168866,1023.29443
1574820304486,56217200168866,1023.2915
1574820304566,56217280168866,1023.2837
1574820304646,56217360168866,1023.2925
1574820304726,56217440168866,1023.2871
1574820304806,56217520168866,1023.2876
1574820304886,56217600168866,1023.27783
1574820304968,56217680168866,1023.2783
1574820305046,56217760168866,1023.2715
1574820305126,56217840168866,1023.26807
1574820305206,56217920168866,1023.2715
1574820305286,56218000168866,1023.27734
1574820305366,56218080168866,1023.27686
1574820305446,56218160170429,1023.2803
1574820305526,56218240168866,1023.27637
1574820305606,56218320168866,1023.28516
1574820305686,56218400168866,1023.28564
1574820305766,56218480168866,1023.2905
1574820305846,56218560168866,1023.28076
1574820305926,56218640168866,1023.2876
1574820306064,56218720168866,1023.27637
1574820306105,56218800168866,1023.2759
1574820306166,56218880168866,1023.27
1574820306246,56218960168866,1023.2666
1574820306326,56219040168866,1023.26953
1574820306408,56219120168866,1023.2632
1574820306486,56219200168866,1023.2632
1574820306566,56219280168866,1023.2573
1574820306646,56219360168866,1023.2739
1574820306727,56219440168866,1023.2715
1574820306806,56219520168866,1023.26416
1574820306886,56219600168866,1023.2705
1574820306967,56219680168866,1023.2632
1574820307046,56219760168866,1023.2627
1574820307126,56219840168866,1023.2661
1574820307207,56219920168866,1023.25684
1574820307292,56220000168866,1023.2744
1574820307368,56220080170429,1023.2539
1574820307446,56220160170429,1023.2666
1574820307526,56220240168866,1023.2827
1574820307606,56220320168866,1023.29736
1574820307686,56220400168866,1023.2676
1574820307766,56220480168866,1023.2622
1574820307846,56220560168866,1023.25586
1574820307926,56220640168866,1023.2617
1574820308006,56220720168866,1023.2617
1574820308109,56220800168866,1023.2617
1574820308166,56220880168866,1023.2754
1574820308246,56220960168866,1023.26904
1574820308326,56221040168866,1023.26904
1574820308406,56221120170429,1023.2754
1574820308486,56221200168866,1023.2788
1574820308566,56221280170429,1023.28174
1574820308646,56221360168866,1023.28174
1574820308726,56221440168866,1023.2832
1574820308806,56221520168866,1023.291
1574820308886,56221600168866,1023.2832
1574820308966,56221680168866,1023.2886
1574820309047,56221760168866,1023.2827
1574820309126,56221840168866,1023.292
1574820309206,56221920168866,1023.2905
1574820309286,56222000168866,1023.2949
1574820309366,56222080168866,1023.2925
1574820309446,56222160168866,1023.2964
1574820309526,56222240168866,1023.32666
1574820309607,56222320168866,1023.2964
1574820309686,56222400168866,1023.2666
1574820309768,56222480168866,1023.27783
1574820309846,56222560168866,1023.2827
1574820309926,56222640168866,1023.2832
1574820310006,56222720168866,1023.28125
1574820310103,56222800168866,1023.28076
1574820310166,56222880168866,1023.28516
1574820310246,56222960168866,1023.29443
1574820310326,56223040168866,1023.29395
1574820310406,56223120168866,1023.2905
1574820310486,56223200168866,1023.3013
1574820310566,56223280168866,1023.292
1574820310647,56223360168866,1023.2969
1574820310726,56223440168866,1023.28906
1574820310807,56223520168866,1023.29004
1574820310886,56223600168866,1023.3047
1574820310966,56223680168866,1023.29785
1574820311046,56223760168866,1023.3047
1574820311130,56223840170429,1023.29395
1574820311206,56223920168866,1023.2993
1574820311287,56224000168866,1023.2905
1574820311367,56224080170429,1023.28564
1574820311446,56224160168866,1023.2822
1574820311526,56224240168866,1023.2803
1574820311606,56224320168866,1023.2837
1574820311686,56224400168866,1023.2964
1574820311766,56224480168866,1023.30225
1574820311846,56224560168866,1023.2988
1574820311926,56224640168866,1023.29297
1574820312007,56224720168866,1023.2915
1574820312087,56224800168866,1023.3052
1574820312166,56224880168866,1023.2964
1574820312246,56224960168866,1023.28613
1574820312328,56225040168866,1023.2754
1574820312406,56225120168866,1023.2798
1574820312486,56225200168866,1023.28516
1574820312566,56225280168866,1023.29395
1574820312647,56225360168866,1023.2876
1574820312726,56225440168866,1023.2905
1574820312807,56225520168866,1023.2964
1574820312886,56225600168866,1023.28516
1574820312967,56225680168866,1023.2969
1574820313046,56225760168866,1023.3047
1574820313126,56225840168866,1023.30615
1574820313236,56225920170429,1023.31494
1574820313286,56226000168866,1023.3071
1574820313366,56226080170429,1023.3086
1574820313448,56226160168866,1023.313
1574820313526,56226240168866,1023.3135
1574820313606,56226320168866,1023.3198
1574820313686,56226400168866,1023.3047
1574820313766,56226480168866,1023.31006
1574820313846,56226560168866,1023.2998
1574820313926,56226640168866,1023.2993
1574820314006,56226720168866,1023.2949
1574820314116,56226800170429,1023.3081
1574820314166,56226880168866,1023.2993
1574820314246,56226960168866,1023.2881
1574820314330,56227040168866,1023.29443
1574820314406,56227120168866,1023.2881
1574820314486,56227200168866,1023.29004
1574820314566,56227280168866,1023.29395
1574820314646,56227360168866,1023.2871
1574820314726,56227440168866,1023.2881
1574820314807,56227520168866,1023.29004
1574820314887,56227600168866,1023.2969
1574820314967,56227680168866,1023.3042
1574820315046,56227760168866,1023.2925
1574820315126,56227840168866,1023.3032
1574820315206,56227920168866,1023.2988
1574820315286,56228000168866,1023.3081
1574820315366,56228080170429,1023.2954
1574820315447,56228160168866,1023.2866
1574820315526,56228240168866,1023.2749
1574820315606,56228320168866,1023.2632
1574820315686,56228400168866,1023.2632
1574820315766,56228480168866,1023.28955
1574820315846,56228560168866,1023.29346
1574820315926,56228640168866,1023.2871
1574820316006,56228720168866,1023.27686
1574820316112,56228800168866,1023.291
1574820316166,56228880168866,1023.29297
1574820316246,56228960168866,1023.29004
1574820316326,56229040168866,1023.3003
1574820316406,56229120168866,1023.3037
1574820316486,56229200168866,1023.29736
1574820316566,56229280168866,1023.29834
1574820316647,56229360168866,1023.30176
1574820316726,56229440168866,1023.31104
1574820316806,56229520168866,1023.3032
1574820316886,56229600168866,1023.3086
1574820316966,56229680168866,1023.31006
1574820317067,56229760168866,1023.3071
1574820317126,56229840170429,1023.3115
