timestamps,Freq. Max. Amp-x,Freq. Max. Amp-y,Freq. Max. Amp-z,Power Spec. Entropy-x,Power Spec. Entropy-y,Power Spec. Entropy-z,Weighted Avg. Amp-x,Weighted Avg. Amp-y,Weighted Avg. Amp-z,Weighted Avg. Energy-x,Weighted Avg. Energy-y,Weighted Avg. Energy-z,rss-2GHZ-MAX,rss-2GHZ-MEAN,rss-2GHZ-MIN,rss-2GHZ-STD,rss-5GHZ-MAX,rss-5GHZ-MEAN,rss-5GHZ-MIN,rss-5GHZ-STD,accuracy,satellites
1576422135185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6690724859926681,0.35361183107350785,0.2825846625062223,2.5838630472451727,2.6775076632180985,2.8246884714082556,1.0067073341090742,0.8730580274626858,0.8541441005209417,-58.0,-84.75,-97.0,10.662434056068061,-58.0,-81.53846153846153,-95.0,11.307692307692308,4.0,25.0
1576422135685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.7453299462852763,0.2943934962809164,0.3448608722977504,2.487529452829275,2.8934787297456963,2.4745085516432686,1.0606402302762084,0.8549624061454776,0.8788964858908032,,,,,,,,,4.0,25.0
1576422136185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.2606385489621679,0.23405885563242007,0.23212049896156237,3.010904584809908,2.8737195367823625,3.217440367798243,1.5425928333633652,0.8397349189295419,0.8607474006505849,,,,,,,,,4.0,25.0
1576422136685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.5244557686588796,0.1483292882929231,0.18440455130174618,3.1989032685614243,2.7957607080598055,2.990045677561099,2.0837813426815366,0.8165652288467434,0.8264835762792946,,,,,,,,,4.0,25.0
1576422137185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.223073309015909,0.15848579456395576,0.1698696453199684,4.425040999478913,2.817555275717781,2.8469275754964123,1.6893009502556011,0.8183245072746927,0.8219897904418652,,,,,,,,,4.0,24.25
1576422137685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.17318347693233863,0.18521358834753612,0.146322747033526,4.0654075077784375,2.593540275654331,2.782582140179945,0.8513040712509243,0.822899070523999,0.8148802077917003,,,,,,,,,4.0,24.25
1576422138185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.27357714290641066,0.2735147433400279,0.20483642450286338,2.248579152403656,2.7258583563362295,3.1934933702839574,0.853563062916028,0.8568040823330054,0.8401140997168813,,,,,,,,,4.0,24.0
1576422138685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.6512024610877806,0.14006612149803094,0.29009682561163347,2.3646388228095145,3.461240259913184,2.6371930344252927,1.0266042583306176,0.8228098753162615,0.852430034912293,-63.0,-85.85714285714286,-97.0,10.480302223403559,-56.0,-78.3157894736842,-95.0,12.311965218218662,4.0,24.0
1576422139185.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,0.9723012173055883,0.2741835518888641,0.18902605059407113,2.216972181628459,2.5136922079372055,2.7299464916836915,1.2060896413791637,0.8474966720407026,0.8263389055525726,-63.0,-85.85714285714286,-97.0,10.480302223403559,-56.0,-78.3157894736842,-95.0,12.311965218218662,4.0,24.0
1576422139685.0,0.7841952724349609,0.7841952724349609,0.7841952724349609,1.0941106555870543,0.17403078886457407,0.14498016123158114,2.375827211565431,2.424285728417953,2.9879478806681363,1.3971615106131836,0.8234726102088495,0.8266449146197041,,,,,,,,,4.0,24.0
