,timestamps,Freq. Max. Amp-x,Freq. Max. Amp-y,Freq. Max. Amp-z,Power Spec. Entropy-x,Power Spec. Entropy-y,Power Spec. Entropy-z,Weighted Avg. Amp-x,Weighted Avg. Amp-y,Weighted Avg. Amp-z,Weighted Avg. Energy-x,Weighted Avg. Energy-y,Weighted Avg. Energy-z,rss-2GHZ-MAX,rss-2GHZ-MEAN,rss-2GHZ-MIN,rss-2GHZ-STD,rss-5GHZ-MAX,rss-5GHZ-MEAN,rss-5GHZ-MIN,rss-5GHZ-STD,accuracy,satellites,label
838,1574764923287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.0733054238675128,1.1365588583685988,1.008127363848268,1.350408218400942,1.3581758605815768,1.83845496941312,0.6959812340010034,0.7238684291187926,0.6692025556615261,-73.0,-85.95833333333331,-97.0,6.82201807059726,-75.0,-86.29411764705883,-96.0,5.788067907670594,,,IN
839,1574764923787.0,0.8420387722295003,0.42101938611475015,0.42101938611475015,1.5175869801044055,0.9773991405420352,1.011345609718737,1.9601118061782603,1.9790434849804608,1.7296365780441951,1.0038733706925784,0.658280213776921,0.6661013417304373,,,,,,,,,,,IN
840,1574764924287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.3768011796981752,0.9984120568262064,1.065816176639354,1.6393788023435998,1.7477921144138775,1.6196506074564132,0.86558600314051,0.659434314450173,0.6882006966025376,,,,,,,,,,,IN
841,1574764924787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.3904434934349998,1.192361193188815,1.0758490850341815,2.6210097540852257,1.5147177808970067,1.7455799584135268,0.8697256893811884,0.7469229726966379,0.6941563380487564,,,,,,,,,,,IN
842,1574764925287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.5627494434115854,1.1266246241025208,1.0755298387395278,2.6053046259973787,2.030836667488792,1.568703429466356,1.0110151620597692,0.7164131851821741,0.6967374092269008,,,,,,,,,,,IN
843,1574764925787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.3788044740875949,1.2257229754491101,0.9786832506098228,2.8738639352103723,1.6980325427838692,1.8042166700760816,0.8671347722650192,0.7670693999309142,0.6574394264485023,,,,,,,,,,,IN
844,1574764926287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.331827294134008,1.0112445375397952,1.016607689465869,1.925689946629917,2.2237239502411987,1.7068630283130592,0.8311309881688091,0.6909996472044597,0.6680924038650962,,,,,,,,,,,IN
845,1574764926787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.336430193460055,1.0169199433648006,1.0782434975247912,1.8512556813021317,1.9442167099824077,1.6708852949207242,0.8209483847398705,0.6675955713510401,0.6940827160204743,-66.0,-80.2,-95.0,9.826494797230595,-64.0,-80.58333333333333,-91.0,8.967146827292515,,,IN
846,1574764927287.0,1.2630581583442504,0.42101938611475015,0.42101938611475015,1.823990038246665,1.14931636690866,1.0725190161206193,2.574954550655149,1.718408883014405,1.6163743710855176,1.4378870927759853,0.7255127332325797,0.6939748625244906,-66.0,-80.2,-95.0,9.826494797230595,-64.0,-80.58333333333333,-91.0,8.967146827292515,,,IN
847,1574764927787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.951517235456965,1.161859706935636,1.0399260650870503,2.7340642534529933,1.5153807496200948,1.5983674709230535,1.3735877552184168,0.734870224534791,0.6815196632267884,,,,,,,,,,,IN
848,1574764928287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.7214900800965802,1.0410761981700032,0.998781858542976,3.9210787756813668,1.81480408926554,1.7322026781661684,1.1752748765454155,0.6804872780584026,0.6619867133352688,,,,,,,,,,,IN
849,1574764928787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.3931723970977246,0.99268325872513,1.0392835475473263,1.5475358496449034,1.7862480482518264,1.706326546966732,0.8703703035941032,0.659109379791135,0.6764141829252281,,,,,,,,,,,IN
850,1574764929287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.5019386022475445,1.0510088490751068,1.0973297847931596,2.3205531648620417,1.83878973297898,1.657972064525916,0.9411299086725894,0.6800783089889597,0.7029133331681119,,,,,,,,,,,IN
851,1574764929787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.0587448750588262,1.1246812644903579,1.0616055229277062,2.2258290345715754,1.6586997154997272,1.6149321945039803,0.697055564389209,0.7146780081199788,0.6900324845337525,,,,,,,,,,,IN
852,1574764930287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.2139083793210883,1.1305699178373492,1.0185118887199711,2.72267450254009,1.5840487789265385,1.6745260442439385,0.7745979455576182,0.7202615877991362,0.6726006115970686,-52.0,-78.82352941176471,-97.0,14.577320394921482,-47.0,-70.06666666666666,-95.0,15.897449131508136,,,IN
853,1574764930787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.130457804687954,1.0129549283838903,0.9982576811993016,3.652604784291917,1.8186823767249944,1.755704721462868,0.8364879039451235,0.6705297952197545,0.6619440147806918,-52.0,-78.82352941176471,-97.0,14.577320394921482,-47.0,-70.06666666666666,-95.0,15.897449131508136,,,IN
854,1574764931287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.3913501011624154,0.9869709735323108,1.0564548311419732,1.584510673276439,1.7512325771348396,1.7182276026699352,0.8645450320719261,0.6553106827363324,0.6831079644510225,,,,,,,,,,,IN
855,1574764931787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.8434768833943511,1.193943697423984,1.100646012198227,2.5292094019035294,1.7784035741493414,1.6615589928155527,1.2700232382639778,0.7443897978183425,0.7054481845799934,,,,,,,,,,,IN
856,1574764932287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.7375018659098174,1.1671230273483004,1.0600724430219055,2.347631871243861,1.7645105409599162,1.7015101211502546,1.152686559951085,0.7349654960571599,0.6901318666850607,,,,,,,,,,,IN
857,1574764932787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.5591231229065818,1.142991711739607,1.0064709679981985,2.340357025527441,1.542087288069237,1.6608738371479432,1.0160140165644185,0.7260514471171434,0.6674040197202132,,,,,,,,,,,IN
858,1574764933287.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,1.4528753665990648,0.9857983731503158,1.0097132991840057,2.772320996282643,1.9439972527271852,1.7321767993662465,0.9789422588881482,0.659828446248351,0.6656323413382407,,,,,,,,,,,IN
859,1574764933787.0,0.42101938611475015,0.42101938611475015,0.42101938611475015,2.101400937199883,0.9620063648782412,1.0611867697605066,3.775072910466826,1.819617510631036,1.6595072466141656,1.6794784064406585,0.6480681994036718,0.6860701300334082,,,,,,,,,,,IN
