timeMillis,timeNanos,value
1576422928020,2888727440623,1022.9321
1576422928100,2888807440623,1022.9419
1576422928181,2888887440623,1022.9116
1576422928260,2888967440623,1022.9004
1576422928387,2889047442186,1022.8701
1576422928420,2889127440623,1022.8701
1576422928500,2889207440623,1022.8667
1576422928580,2889287440623,1022.8804
1576422928660,2889367440623,1022.8872
1576422928741,2889447440623,1022.9092
1576422928820,2889527440623,1022.8794
1576422928900,2889607442186,1022.8784
1576422928980,2889687442186,1022.9087
1576422929060,2889767440623,1022.9087
1576422929140,2889847440623,1022.8784
1576422929220,2889927440623,1022.84863
1576422929300,2890007440623,1022.8335
1576422929380,2890087442186,1022.8379
1576422929460,2890167440623,1022.8584
1576422929541,2890247440623,1022.8379
1576422929620,2890327440623,1022.8369
1576422929700,2890407440623,1022.83057
1576422929784,2890487442186,1022.82324
1576422929862,2890567442186,1022.8408
1576422929940,2890647440623,1022.8706
1576422930020,2890727440623,1022.88965
1576422930100,2890807442186,1022.8594
1576422930180,2890887440623,1022.84717
1576422930260,2890967440623,1022.8535
1576422930340,2891047440623,1022.83984
1576422930420,2891127440623,1022.8457
1576422930500,2891207442186,1022.82275
1576422930581,2891287440623,1022.79785
1576422930660,2891367440623,1022.80273
1576422930740,2891447440623,1022.833
1576422930820,2891527442186,1022.83936
1576422930900,2891607442186,1022.8345
1576422930981,2891687440623,1022.8262
1576422931060,2891767440623,1022.81055
1576422931141,2891847440623,1022.8159
1576422931220,2891927440623,1022.8447
1576422931300,2892007440623,1022.84375
1576422931396,2892087442186,1022.81396
1576422931460,2892167440623,1022.7837
1576422931540,2892247440623,1022.7539
1576422931621,2892327440623,1022.7539
1576422931700,2892407440623,1022.7388
1576422931781,2892487440623,1022.72363
1576422931860,2892567442186,1022.7334
1576422931940,2892647442186,1022.7632
1576422932020,2892727440623,1022.79346
1576422932100,2892807440623,1022.82324
1576422932181,2892887442186,1022.8384
1576422932262,2892967442186,1022.8384
1576422932340,2893047440623,1022.83936
1576422932420,2893127442186,1022.8096
1576422932500,2893207440623,1022.7793
1576422932580,2893287440623,1022.7788
1576422932661,2893367440623,1022.80566
1576422932740,2893447440623,1022.8301
1576422932820,2893527440623,1022.8423
1576422932900,2893607440623,1022.812
1576422932980,2893687440623,1022.7822
1576422933060,2893767442186,1022.7671
1576422933141,2893847440623,1022.75195
1576422933220,2893927440623,1022.7534
1576422933300,2894007442186,1022.7793
1576422933392,2894087442186,1022.8091
1576422933460,2894167440623,1022.81445
1576422933540,2894247440623,1022.7842
1576422933620,2894327440623,1022.7588
1576422933700,2894407440623,1022.7505
1576422933780,2894487442186,1022.7471
1576422933860,2894567442186,1022.772
1576422933940,2894647440623,1022.80225
1576422934020,2894727442186,1022.83203
1576422934100,2894807440623,1022.8047
1576422934180,2894887442186,1022.7749
1576422934262,2894967440623,1022.7446
1576422934340,2895047440623,1022.7368
1576422934420,2895127440623,1022.7622
1576422934500,2895207440623,1022.7871
1576422934580,2895287440623,1022.8169
