bssid,frequency,rss,ssid,timeMillis,timestamp
6c7220116bbc,2437,-78,IRAP_2.4ghz,1576420195722,156391874
705dcc4b7e12,2432,-86,iptime,1576420195722,156391870
705dcc4b6166,2417,-61,iptime,1576420195722,156391867
00246c710552,5240,-78,Welcome_1st_KAIST,1576420195722,156391863
00246c710551,5240,-77,eduroam,1576420195722,156391858
00246c710550,5240,-76,Welcome_KAIST,1576420195722,156391855
6c7220116bbe,5220,-83,IRAP_5ghz,1576420195722,156391848
705dcc3dc6c8,2417,-63,iptime,1576420195722,156391844
88366c6f1cd4,2417,-87,iptime,1576420195722,156391839
c412f569d0d4,2412,-72,IRAP_1,1576420195722,156391831
24dec6e32012,5180,-86,Welcome_1st_KAIST,1576420195722,156391826
24dec6e32011,5180,-86,eduroam,1576420195722,156391820
24dec6e32010,5180,-85,Welcome_KAIST,1576420195722,156391816
c412f569d0d6,5180,-83,IRAP_5GHz,1576420195722,156391807
d8c7c8df0bb2,5785,-92,Welcome_1st_KAIST,1576420195722,156391803
d8c7c8df0bb1,5785,-94,Welcome_KAIST,1576420195722,156391796
d8c7c8df0bb0,5785,-92,eduroam,1576420195722,156391791
88366cd64313,5745,-93,Changlab_5G_1,1576420195722,156391771
d8c7c8de3a32,5785,-79,Welcome_1st_KAIST,1576420197836,158509765
d8c7c8de3a31,5785,-79,Welcome_KAIST,1576420197836,158509761
d8c7c8de3a30,5785,-79,eduroam,1576420197836,158509757
d8c7c8de3912,5765,-50,Welcome_1st_KAIST,1576420197836,158509754
d8c7c8de3911,5765,-49,Welcome_KAIST,1576420197836,158509751
d8c7c8de3910,5765,-51,eduroam,1576420197836,158509746
88366c5842a0,5745,-87,MaturePolis Lab. 5G,1576420197836,158509741
88366c6f1cd6,5745,-80,iptime5G,1576420197836,158509736
24dec6e32002,2472,-88,Welcome_1st_KAIST,1576420197836,158509732
24dec6e32001,2472,-88,eduroam,1576420197836,158509728
24dec6e32000,2472,-91,Welcome_KAIST,1576420197836,158509723
d8c7c8de3922,2472,-67,Welcome_1st_KAIST,1576420197836,158509720
d8c7c8de3921,2472,-68,Welcome_KAIST,1576420197836,158509715
d8c7c8de3920,2472,-67,eduroam,1576420197836,158509712
d8c7c8df20a2,2472,-86,Welcome_1st_KAIST,1576420197836,158509709
d8c7c8df20a1,2472,-84,Welcome_KAIST,1576420197836,158509706
d8c7c8df20a0,2472,-85,eduroam,1576420197836,158509702
6c7220116bbc,2437,-71,IRAP_2.4ghz,1576420197836,158509696
00246c710552,5240,-83,Welcome_1st_KAIST,1576420197836,158509693
00246c710551,5240,-82,eduroam,1576420197836,158509689
00246c710550,5240,-79,Welcome_KAIST,1576420197836,158509686
705dcc4b6166,2417,-59,iptime,1576420197836,158509682
6c7220116bbe,5220,-82,IRAP_5ghz,1576420197836,158509679
24dec6ec5ef2,5220,-85,Welcome_1st_KAIST,1576420197836,158509676
24dec6ec5ef1,5220,-86,eduroam,1576420197836,158509674
24dec6ec5ef0,5220,-85,Welcome_KAIST,1576420197836,158509670
88366c6f1cd4,2417,-85,iptime,1576420197836,158509667
705dcc3dc6c8,2417,-59,iptime,1576420197836,158509664
00246c710541,2412,-80,eduroam,1576420197836,158509659
00246c710540,2412,-80,Welcome_KAIST,1576420197836,158509655
c412f569d0d4,2412,-86,IRAP_1,1576420197836,158509649
c412f569d0d6,5180,-81,IRAP_5GHz,1576420197836,158509645
d8c7c8de3932,5805,-77,Welcome_1st_KAIST,1576420197836,158509641
d8c7c8de3931,5805,-74,Welcome_KAIST,1576420197836,158509637
d8c7c8de3930,5805,-74,eduroam,1576420197836,158509631
e8fcaff99fc6,5765,-84,GC-B107-5G-2,1576420197836,158509594
b252165200fe,2437,-93,DIRECT-fe-HP M280 LaserJet,1576420197836,158509590
705dcc4b7e12,2432,-86,iptime,1576420197836,158509584
24dec6e32012,5180,-86,Welcome_1st_KAIST,1576420197836,158509581
24dec6e32011,5180,-86,eduroam,1576420197836,158509576
24dec6e32010,5180,-85,Welcome_KAIST,1576420197836,158509561
d8c7c8de3932,5805,-65,Welcome_1st_KAIST,1576420201692,162343716
d8c7c8de3931,5805,-66,Welcome_KAIST,1576420201692,162343712
d8c7c8de3930,5805,-67,eduroam,1576420201692,162343706
d8c7c8de3a32,5785,-85,Welcome_1st_KAIST,1576420201692,162343701
d8c7c8de3a31,5785,-84,Welcome_KAIST,1576420201692,162343696
d8c7c8de3a30,5785,-84,eduroam,1576420201692,162343691
d8c7c8de3912,5765,-47,Welcome_1st_KAIST,1576420201692,162343685
d8c7c8de3911,5765,-47,Welcome_KAIST,1576420201692,162343682
d8c7c8de3910,5765,-49,eduroam,1576420201692,162343676
88366c6f1cd6,5745,-79,iptime5G,1576420201692,162343671
24dec6e32002,2472,-83,Welcome_1st_KAIST,1576420201692,162343667
24dec6e32001,2472,-83,eduroam,1576420201692,162343662
24dec6e32000,2472,-83,Welcome_KAIST,1576420201692,162343658
d8c7c8df20a0,2472,-79,eduroam,1576420201692,162343654
