,timeMillis,timeNanos,value
215,1573436412837,4702504503773353,1005.7612
216,1573436413037,4702504703773353,1005.7627
217,1573436413236,4702504903774915,1005.75635
218,1573436413436,4702505103774915,1005.7759
219,1573436413637,4702505303773353,1005.7754
220,1573436413837,4702505503774915,1005.76025
221,1573436414038,4702505703773353,1005.7724599999999
222,1573436414236,4702505903774915,1005.7671
223,1573436592719,4702684386726479,1006.2461
224,1573436592799,4702684466724916,1006.22705
225,1573436592879,4702684546724916,1006.2334
226,1573436592959,4702684626724916,1006.23535
227,1573436593040,4702684706724916,1006.2280000000001
228,1573436593119,4702684786724916,1006.2197
229,1573436593199,4702684866726479,1006.2280000000001
230,1573436593279,4702684946726479,1006.22656
231,1573436593359,4702685026724916,1006.23926
232,1573436593440,4702685106724916,1006.25195
233,1573436593520,4702685186726479,1006.2661
234,1573436593599,4702685266724916,1006.2637
235,1573436593679,4702685346724916,1006.2524400000001
236,1573436593759,4702685426724916,1006.2407
237,1573436593839,4702685506724916,1006.24854
238,1573436593919,4702685586724916,1006.2475599999999
239,1573436593999,4702685666724916,1006.2573
240,1573436594079,4702685746724916,1006.26465
241,1573436594164,4702685826724916,1006.27734
242,1573436594239,4702685906724916,1006.2715
243,1573436594319,4702685986724916,1006.2788
244,1573436594399,4702686066724916,1006.2549
245,1573436594479,4702686146724916,1006.24316
246,1573436594559,4702686226724916,1006.2402300000001
247,1573436594639,4702686306724916,1006.2417
248,1573436594719,4702686386724916,1006.2489999999999
249,1573436594799,4702686466724916,1006.2661
250,1573436594879,4702686546724916,1006.26807
251,1573436594959,4702686626724916,1006.2622
252,1573436595040,4702686706724916,1006.2344
253,1573436595120,4702686786724916,1006.2261
254,1573436595201,4702686866724916,1006.23047
255,1573436595279,4702686946726479,1006.23047
256,1573436595359,4702687026724916,1006.24854
257,1573436595440,4702687106724916,1006.24805
258,1573436595520,4702687186724916,1006.2549
259,1573436595599,4702687266724916,1006.2505
260,1573436595679,4702687346724916,1006.2471
261,1573436595759,4702687426724916,1006.24316
262,1573436595841,4702687506724916,1006.24414
263,1573436595924,4702687586726479,1006.2412
264,1573436596000,4702687666724916,1006.2510000000001
265,1573436596079,4702687746724916,1006.2510000000001
266,1573436596160,4702687826724916,1006.2363
267,1573436596239,4702687906724916,1006.2173
268,1573436596320,4702687986726479,1006.2129
269,1573436596399,4702688066724916,1006.1929
270,1573436596479,4702688146724916,1006.2036
271,1573436596560,4702688226724916,1006.2246
272,1573436596640,4702688306724916,1006.2412
273,1573436596720,4702688386724916,1006.2368
274,1573436596799,4702688466724916,1006.2402300000001
275,1573436596881,4702688546724916,1006.2656
276,1573436596959,4702688626724916,1006.2495
277,1573436597039,4702688706724916,1006.2505
278,1573436597119,4702688786724916,1006.2334
279,1573436597199,4702688866724916,1006.2461
280,1573436597279,4702688946724916,1006.25684
281,1573436597359,4702689026724916,1006.2495
282,1573436597440,4702689106724916,1006.23
283,1573436597519,4702689186724916,1006.2217
284,1573436597599,4702689266724916,1006.20654
285,1573436597679,4702689346724916,1006.20703
286,1573436597759,4702689426724916,1006.2217
287,1573436597839,4702689506724916,1006.2412
288,1573436597920,4702689586726479,1006.2505
289,1573436597999,4702689666724916,1006.24316
290,1573436598079,4702689746724916,1006.26025
291,1573436598159,4702689826724916,1006.2539
292,1573436598239,4702689906724916,1006.2666
293,1573436598319,4702689986724916,1006.2637
294,1573436598399,4702690066724916,1006.2588
295,1573436598480,4702690146724916,1006.2554
296,1573436598559,4702690226724916,1006.23926
297,1573436598640,4702690306724916,1006.2095
298,1573436598719,4702690386724916,1006.1875
299,1573436598800,4702690466724916,1006.21484
300,1573436598880,4702690546724916,1006.2446
301,1573436598959,4702690626724916,1006.2749
302,1573436599040,4702690706724916,1006.28516
303,1573436599119,4702690786726479,1006.2768599999999
304,1573436599201,4702690866724916,1006.2471
305,1573436599280,4702690946726479,1006.2221699999999
306,1573436599359,4702691026724916,1006.2041
307,1573436599439,4702691106724916,1006.2026400000001
308,1573436599519,4702691186724916,1006.2329
309,1573436599600,4702691266724916,1006.2554
310,1573436599679,4702691346724916,1006.28516
311,1573436599759,4702691426724916,1006.25635
312,1573436599839,4702691506724916,1006.22656
313,1573436599919,4702691586726479,1006.1963
314,1573436599999,4702691666724916,1006.20557
315,1573436600079,4702691746724916,1006.23535
316,1573436600161,4702691826724916,1006.2627
317,1573436600239,4702691906724916,1006.2593
318,1573436600320,4702691986724916,1006.2422
319,1573436600399,4702692066724916,1006.2402300000001
320,1573436600479,4702692146724916,1006.2256
321,1573436600559,4702692226724916,1006.20654
322,1573436600639,4702692306724916,1006.20557
323,1573436600719,4702692386724916,1006.23535
324,1573436600799,4702692466724916,1006.26025
325,1573436600879,4702692546724916,1006.2856400000001
326,1573436600959,4702692626726479,1006.25586
327,1573436601039,4702692706724916,1006.2256
328,1573436601120,4702692786724916,1006.1958
329,1573436601199,4702692866724916,1006.1885
330,1573436601279,4702692946726479,1006.21875
331,1573436601360,4702693026724916,1006.24854
332,1573436601440,4702693106724916,1006.2788
333,1573436601519,4702693186724916,1006.26465
334,1573436601599,4702693266724916,1006.2348599999999
335,1573436601679,4702693346724916,1006.2046
336,1573436601759,4702693426724916,1006.1748
337,1573436601839,4702693506724916,1006.18115
338,1573436601923,4702693586726479,1006.2114
339,1573436601999,4702693666724916,1006.2412
340,1573436602079,4702693746724916,1006.2715
341,1573436602159,4702693826724916,1006.2412
342,1573436602239,4702693906724916,1006.2114
343,1573436602319,4702693986724916,1006.1963
344,1573436602399,4702694066724916,1006.2002
345,1573436602479,4702694146724916,1006.23
346,1573436602559,4702694226724916,1006.26025
347,1573436602639,4702694306724916,1006.26025
348,1573436602719,4702694386724916,1006.23047
349,1573436602799,4702694466724916,1006.22266
350,1573436602879,4702694546724916,1006.1924
351,1573436602959,4702694626724916,1006.1655
352,1573436603040,4702694706724916,1006.1958
353,1573436603120,4702694786724916,1006.2256
354,1573436603200,4702694866724916,1006.25586
355,1573436603280,4702694946726479,1006.2422
356,1573436603359,4702695026724916,1006.2124
357,1573436603440,4702695106724916,1006.1821
358,1573436603520,4702695186724916,1006.16455
359,1573436603599,4702695266724916,1006.1914
360,1573436603679,4702695346724916,1006.2212
361,1573436603760,4702695426724916,1006.23584
362,1573436603839,4702695506724916,1006.2373
363,1573436603930,4702695586726479,1006.20703
364,1573436603999,4702695666724916,1006.2158
365,1573436604079,4702695746724916,1006.21484
366,1573436604159,4702695826724916,1006.2138699999999
367,1573436604240,4702695906724916,1006.2339
368,1573436604323,4702695986726479,1006.2363
369,1573436604399,4702696066724916,1006.2534
370,1573436604479,4702696146724916,1006.2334
371,1573436604560,4702696226724916,1006.2221699999999
372,1573436604639,4702696306724916,1006.1987
373,1573436604719,4702696386724916,1006.2051
374,1573436604799,4702696466724916,1006.23047
375,1573436604879,4702696546724916,1006.25684
376,1573436604960,4702696626726479,1006.25195
377,1573436605039,4702696706724916,1006.2329
378,1573436605119,4702696786724916,1006.2026400000001
379,1573436605202,4702696866724916,1006.2002
380,1573436605279,4702696946724916,1006.2119
381,1573436605359,4702697026724916,1006.2412
382,1573436605439,4702697106724916,1006.26025
383,1573436605520,4702697186724916,1006.2719999999999
384,1573436605599,4702697266724916,1006.2969
385,1573436605679,4702697346724916,1006.2666
386,1573436605759,4702697426724916,1006.2368
387,1573436605839,4702697506724916,1006.20654
388,1573436605919,4702697586726479,1006.21045
389,1573436605999,4702697666724916,1006.2324
390,1573436606079,4702697746726479,1006.2285
391,1573436606159,4702697826724916,1006.2422
392,1573436606239,4702697906724916,1006.2153300000001
393,1573436606319,4702697986724916,1006.2451
394,1573436606400,4702698066724916,1006.2163
395,1573436606479,4702698146724916,1006.2217
396,1573436606559,4702698226724916,1006.24316
397,1573436606639,4702698306724916,1006.24805
398,1573436606719,4702698386724916,1006.2588
399,1573436606799,4702698466724916,1006.2285
400,1573436606879,4702698546724916,1006.1987
401,1573436606959,4702698626726479,1006.1929
402,1573436607040,4702698706724916,1006.1963
403,1573436607119,4702698786724916,1006.1841
404,1573436607200,4702698866724916,1006.2143599999999
405,1573436607279,4702698946726479,1006.2251
406,1573436607359,4702699026724916,1006.2143599999999
407,1573436607440,4702699106724916,1006.1997
408,1573436607519,4702699186724916,1006.2026400000001
409,1573436607603,4702699266726479,1006.1826
410,1573436607679,4702699346726479,1006.1987
411,1573436607759,4702699426724916,1006.22705
412,1573436607839,4702699506724916,1006.2573
413,1573436607932,4702699586724916,1006.2768599999999
414,1573436607999,4702699666724916,1006.2749
415,1573436608079,4702699746724916,1006.2446
416,1573436608160,4702699826724916,1006.21484
417,1573436608240,4702699906726479,1006.1997
418,1573436608320,4702699986724916,1006.19385
419,1573436608399,4702700066724916,1006.2124
420,1573436608480,4702700146724916,1006.23096
421,1573436608559,4702700226724916,1006.23047
422,1573436608639,4702700306724916,1006.2026400000001
423,1573436608720,4702700386724916,1006.1924
424,1573436608799,4702700466724916,1006.1621
425,1573436608885,4702700546726479,1006.1758
426,1573436608959,4702700626724916,1006.20605
427,1573436609039,4702700706724916,1006.23584
428,1573436609120,4702700786724916,1006.2627
429,1573436609203,4702700866724916,1006.2324
430,1573436609283,4702700946726479,1006.20654
431,1573436609359,4702701026724916,1006.2280000000001
432,1573436609439,4702701106724916,1006.21826
433,1573436609519,4702701186726479,1006.2241
434,1573436609599,4702701266724916,1006.2422
435,1573436609679,4702701346724916,1006.2578
436,1573436609760,4702701426724916,1006.2329
437,1573436609840,4702701506724916,1006.2153300000001
438,1573436609923,4702701586726479,1006.2138699999999
439,1573436609999,4702701666724916,1006.19434
440,1573436610079,4702701746724916,1006.1997
441,1573436610160,4702701826724916,1006.2295
442,1573436610239,4702701906726479,1006.2285
443,1573436610319,4702701986724916,1006.2221699999999
444,1573436610399,4702702066726479,1006.2217
445,1573436610479,4702702146724916,1006.21826
446,1573436610559,4702702226724916,1006.2407
447,1573436610639,4702702306724916,1006.2378
448,1573436610719,4702702386724916,1006.2153300000001
449,1573436610799,4702702466724916,1006.18555
450,1573436610880,4702702546724916,1006.1709
451,1573436610959,4702702626724916,1006.1797
452,1573436611039,4702702706724916,1006.209
453,1573436611119,4702702786724916,1006.21094
454,1573436611200,4702702866724916,1006.2207
455,1573436611279,4702702946726479,1006.2119
456,1573436611360,4702703026724916,1006.20703
457,1573436611439,4702703106726479,1006.1968
458,1573436611519,4702703186724916,1006.1948
459,1573436611599,4702703266724916,1006.1914
460,1573436611724,4702703346726479,1006.20166
461,1573436611760,4702703426724916,1006.2153300000001
462,1573436611839,4702703506724916,1006.2368
463,1573436611930,4702703586724916,1006.2363
464,1573436612000,4702703666724916,1006.22656
465,1573436612080,4702703746724916,1006.2007
466,1573436612160,4702703826724916,1006.1929
467,1573436612239,4702703906726479,1006.1850599999999
468,1573436612319,4702703986724916,1006.2085
469,1573436612399,4702704066724916,1006.2173
470,1573436612479,4702704146726479,1006.2427
471,1573436612559,4702704226724916,1006.23047
472,1573436612640,4702704306726479,1006.2007
473,1573436612719,4702704386724916,1006.1953
474,1573436612799,4702704466724916,1006.19336
475,1573436612879,4702704546724916,1006.2046
476,1573436612959,4702704626724916,1006.20703
477,1573436613039,4702704706724916,1006.2129
478,1573436613120,4702704786724916,1006.2373
479,1573436613199,4702704866726479,1006.2676
480,1573436613279,4702704946724916,1006.2373
481,1573436613359,4702705026726479,1006.2075
482,1573436613439,4702705106724916,1006.18164
483,1573436613519,4702705186724916,1006.2119
484,1573436613599,4702705266724916,1006.2417
485,1573436613679,4702705346724916,1006.2719999999999
486,1573436613759,4702705426724916,1006.30176
487,1573436613839,4702705506724916,1006.2919999999999
488,1573436613923,4702705586726479,1006.2622
489,1573436613999,4702705666724916,1006.23193
490,1573436614079,4702705746724916,1006.20215
491,1573436614160,4702705826724916,1006.1719
492,1573436614239,4702705906724916,1006.1919
