,timeMillis,timeNanos,x,y,z
231,1573436374397,4702466057893353,144.56999,-16.97,-7.3999996
232,1573436374418,4702466077894915,144.55,-16.93,-7.39
233,1573436374439,4702466097893353,144.53,-16.869999,-7.39
234,1573436374457,4702466117893353,144.52,-16.82,-7.39
235,1573436374478,4702466137894915,144.53,-16.77,-7.3999996
236,1573436374498,4702466157894915,144.53,-16.75,-7.41
237,1573436374517,4702466177893353,144.53,-16.76,-7.4199996
238,1573436374538,4702466197893353,144.53,-16.8,-7.4199996
239,1573436374558,4702466217893353,144.53,-16.84,-7.4199996
240,1573436374577,4702466237893353,144.54,-16.85,-7.4199996
241,1573436374598,4702466257893353,144.56,-16.84,-7.4199996
242,1573436374617,4702466277894915,144.56,-16.82,-7.4199996
243,1573436374639,4702466297894915,144.54,-16.81,-7.4199996
244,1573436374657,4702466317894915,144.53,-16.8,-7.41
245,1573436374678,4702466337894915,144.45999,-16.779999,-7.39
246,1573436374697,4702466357894915,144.47,-16.789998999999998,-7.39
247,1573436374717,4702466377894915,144.47,-16.81,-7.3999996
248,1573436374737,4702466397894915,144.48,-16.83,-7.3999996
249,1573436374757,4702466417894915,144.48998999999998,-16.859999,-7.3999996
250,1573436374777,4702466437893353,144.5,-16.869999,-7.3999996
251,1573436374798,4702466457894915,144.52,-16.89,-7.3999996
252,1573436374817,4702466477894915,144.52,-16.88,-7.3999996
253,1573436374837,4702466497894915,144.51,-16.85,-7.3999996
254,1573436374857,4702466517893353,144.52,-16.68,-7.43
255,1573436374879,4702466537894915,144.55,-16.43,-7.45
256,1573436374897,4702466557893353,144.56999,-16.33,-7.45
257,1573436374917,4702466577894915,144.52,-16.42,-7.43
258,1573436374939,4702466597894915,144.45999,-16.65,-7.3999996
259,1573436374958,4702466617894915,144.45,-16.88,-7.39
260,1573436374977,4702466637894915,144.51,-17.01,-7.41
261,1573436374997,4702466657894915,144.59,-17.05,-7.45
262,1573436375017,4702466677893353,144.62999,-17.01,-7.47
263,1573436375041,4702466697893353,144.61,-16.92,-7.47
264,1573436375057,4702466717894915,144.58,-16.859999,-7.46
265,1573436375078,4702466737893353,144.53,-16.789998999999998,-7.43
266,1573436375097,4702466757893353,144.5,-16.75,-7.3999996
267,1573436375117,4702466777893353,144.48998999999998,-16.76,-7.39
268,1573436375137,4702466797893353,144.5,-16.8,-7.39
269,1573436375158,4702466817893353,144.53,-16.88,-7.41
270,1573436375177,4702466837893353,144.56999,-16.96,-7.4199996
271,1573436375198,4702466857893353,144.58,-17.029999,-7.4199996
272,1573436375217,4702466877894915,144.56999,-17.06,-7.4199996
273,1573436375238,4702466897894915,144.56,-17.039998999999998,-7.43
274,1573436375257,4702466917893353,144.55,-16.97,-7.43
275,1573436375279,4702466937893353,144.55,-16.859999,-7.44
276,1573436375297,4702466957893353,144.55,-16.8,-7.45
277,1573436375318,4702466977894915,144.55,-16.779999,-7.46
278,1573436375337,4702466997894915,144.54,-16.81,-7.46
279,1573436375358,4702467017893353,144.54,-16.859999,-7.47
280,1573436375377,4702467037894915,144.56,-16.89,-7.48
281,1573436375397,4702467057894915,144.58,-16.9,-7.49
282,1573436375417,4702467077894915,144.58,-16.91,-7.49
283,1573436375438,4702467097893353,144.56999,-16.9,-7.5
284,1573436375457,4702467117894915,144.55,-16.869999,-7.509999799999999
285,1573436375477,4702467137894915,144.54,-16.83,-7.52
286,1573436375497,4702467157894915,144.54,-16.789998999999998,-7.5299997
287,1573436375518,4702467177893353,144.54,-16.76,-7.5499997
288,1573436375539,4702467197893353,144.54,-16.74,-7.5699997
289,1573436375557,4702467217894915,144.55,-16.73,-7.58
290,1573436375577,4702467237910540,144.56,-16.75,-7.6
291,1573436375598,4702467257893353,144.54,-16.74,-7.58
292,1573436375617,4702467277894915,144.54,-16.64,-7.58
293,1573436375638,4702467297894915,144.54,-16.5,-7.5899997
294,1573436375657,4702467317893353,144.54,-16.38,-7.6
295,1573436375678,4702467337894915,144.51,-16.38,-7.6
296,1573436375697,4702467357910540,144.48,-16.529999,-7.5899997
297,1573436375717,4702467377894915,144.45,-16.75,-7.5699997
298,1573436375738,4702467397894915,144.45999,-16.92,-7.58
299,1573436375758,4702467417893353,144.52,-16.99,-7.6
300,1573436375777,4702467437893353,144.56,-16.98,-7.62
301,1573436375797,4702467457893353,144.56,-16.92,-7.64
302,1573436375818,4702467477893353,144.52,-16.84,-7.64
303,1573436375838,4702467497893353,144.48998999999998,-16.77,-7.6099997
304,1573436375857,4702467517893353,144.47,-16.72,-7.58
305,1573436375878,4702467537893353,144.45999,-16.71,-7.56
306,1573436375897,4702467557894915,144.45999,-16.74,-7.5499997
307,1573436375918,4702467577893353,144.48,-16.789998999999998,-7.5499997
308,1573436375939,4702467597894915,144.5,-16.85,-7.5499997
309,1573436375957,4702467617893353,144.52,-16.9,-7.5499997
310,1573436375977,4702467637893353,144.52,-16.92,-7.54
311,1573436375998,4702467657894915,144.51,-16.91,-7.5499997
312,1573436376017,4702467677894915,144.5,-16.859999,-7.5499997
313,1573436376041,4702467697893353,144.5,-16.779999,-7.5299997
314,1573436376057,4702467717894915,144.48998999999998,-16.74,-7.52
315,1573436376078,4702467737894915,144.48998999999998,-16.73,-7.52
316,1573436376114,4702467757894915,144.48,-16.76,-7.509999799999999
317,1573436376117,4702467777894915,144.48,-16.81,-7.509999799999999
318,1573436376137,4702467797894915,144.48998999999998,-16.84,-7.509999799999999
319,1573436376158,4702467817893353,144.5,-16.77,-7.52
320,1573436376177,4702467837893353,144.54,-16.619999,-7.5299997
321,1573436376198,4702467857893353,144.54,-16.48,-7.5299997
322,1573436376217,4702467877894915,144.51,-16.44,-7.52
323,1573436376238,4702467897894915,144.45,-16.52,-7.5
324,1573436376257,4702467917893353,144.42,-16.67,-7.47
325,1573436376278,4702467937894915,144.43,-16.81,-7.49
326,1573436376297,4702467957893353,144.48998999999998,-16.89,-7.509999799999999
327,1573436376318,4702467977893353,144.55,-16.9,-7.5299997
328,1573436376337,4702467997893353,144.58,-16.869999,-7.52
329,1573436376358,4702468017893353,144.55,-16.83,-7.509999799999999
330,1573436376379,4702468037893353,144.5,-16.77,-7.49
331,1573436376398,4702468057894915,144.45999,-16.69,-7.46
332,1573436376417,4702468077893353,144.45,-16.619999,-7.46
333,1573436376438,4702468097893353,144.47,-16.58,-7.47
334,1573436376458,4702468117893353,144.48998999999998,-16.6,-7.48
335,1573436376478,4702468137893353,144.5,-16.67,-7.48
336,1573436376498,4702468157893353,144.5,-16.75,-7.47
337,1573436376518,4702468177894915,144.5,-16.81,-7.46
338,1573436376539,4702468197893353,144.5,-16.83,-7.46
339,1573436376558,4702468217894915,144.5,-16.81,-7.46
340,1573436376578,4702468237893353,144.48998999999998,-16.73,-7.47
341,1573436376598,4702468257894915,144.5,-16.55,-7.5
342,1573436376617,4702468277894915,144.52,-16.4,-7.509999799999999
